DATE,WTISPLC
1970-06-01,3.350
1970-07-01,3.310
1970-08-01,3.310
1970-09-01,3.310
1970-10-01,3.310
1970-11-01,3.310
1970-12-01,3.560
1971-01-01,3.560
1971-02-01,3.560
1971-03-01,3.560
1971-04-01,3.560
1971-05-01,3.560
1971-06-01,3.560
1971-07-01,3.560
1971-08-01,3.560
1971-09-01,3.560
1971-10-01,3.560
1971-11-01,3.560
1971-12-01,3.560
1972-01-01,3.560
1972-02-01,3.560
1972-03-01,3.560
1972-04-01,3.560
1972-05-01,3.560
1972-06-01,3.560
1972-07-01,3.560
1972-08-01,3.560
1972-09-01,3.560
1972-10-01,3.560
1972-11-01,3.560
1972-12-01,3.560
1973-01-01,3.560
1973-02-01,3.560
1973-03-01,3.560
1973-04-01,3.560
1973-05-01,3.560
1973-06-01,3.560
1973-07-01,3.560
1973-08-01,4.310
1973-09-01,4.310
1973-10-01,4.310
1973-11-01,4.310
1973-12-01,4.310
1974-01-01,10.110
1974-02-01,10.110
1974-03-01,10.110
1974-04-01,10.110
1974-05-01,10.110
1974-06-01,10.110
1974-07-01,10.110
1974-08-01,10.110
1974-09-01,10.110
1974-10-01,11.160
1974-11-01,11.160
1974-12-01,11.160
1975-01-01,11.160
1975-02-01,11.160
1975-03-01,11.160
1975-04-01,11.160
1975-05-01,11.160
1975-06-01,11.160
1975-07-01,11.160
1975-08-01,11.160
1975-09-01,11.160
1975-10-01,11.160
1975-11-01,11.160
1975-12-01,11.160
1976-01-01,11.160
1976-02-01,12.030
1976-03-01,12.100
1976-04-01,12.170
1976-05-01,12.170
1976-06-01,12.170
1976-07-01,12.170
1976-08-01,12.170
1976-09-01,13.900
1976-10-01,13.900
1976-11-01,13.900
1976-12-01,13.900
1977-01-01,13.900
1977-02-01,13.900
1977-03-01,13.900
1977-04-01,13.900
1977-05-01,13.900
1977-06-01,13.900
1977-07-01,13.900
1977-08-01,14.850
1977-09-01,14.850
1977-10-01,14.850
1977-11-01,14.850
1977-12-01,14.850
1978-01-01,14.850
1978-02-01,14.850
1978-03-01,14.850
1978-04-01,14.850
1978-05-01,14.850
1978-06-01,14.850
1978-07-01,14.850
1978-08-01,14.850
1978-09-01,14.850
1978-10-01,14.850
1978-11-01,14.850
1978-12-01,14.850
1979-01-01,14.850
1979-02-01,15.850
1979-03-01,15.850
1979-04-01,15.850
